gen,best_train_mse,mean_train_mse,val_mse,sigma,diversity
1,0.2852964696,0.83537094,0.219741341,0.1498646135,0.247770026
2,0.04203621443,0.8303953949,0.04021432827,0.1497293491,0.26706091
3,0.04203621443,0.9250638598,0.04021432827,0.1495942069,0.2857869041
4,0.02050772632,0.922671928,0.01662152123,0.1494591866,0.3014856199
5,0.02050772632,0.9367582006,0.01662152123,0.1493242882,0.3114207131
6,0.02050772632,0.8943537124,0.01662152123,0.1491895116,0.3206665831
7,0.02050772632,0.8626939281,0.01662152123,0.1490548566,0.3315234141
8,0.02050772632,0.848522583,0.01662152123,0.1489203231,0.3346509352
9,0.02050772632,0.7518157297,0.01662152123,0.1487859111,0.3421472294
10,0.02050772632,0.6579073262,0.01662152123,0.1486516204,0.3460338418
11,0.02050772632,0.5850707308,0.01662152123,0.1485174509,0.3435529416
12,0.02050772632,0.4420145631,0.01662152123,0.1483834025,0.3408877198
13,0.02050772632,0.4204905059,0.01662152123,0.1482494751,0.3402292577
14,0.02050772632,0.4103739005,0.01662152123,0.1481156685,0.337761457
15,0.01324549984,0.4187039434,0.0115794838,0.1479819827,0.3412424702
16,0.01324549984,0.394989994,0.0115794838,0.1478484176,0.3483927038
17,0.01324549984,0.3483450977,0.0115794838,0.1477149731,0.3494885473
18,0.01324549984,0.3988323431,0.0115794838,0.147581649,0.3507946054
19,0.01324549984,0.3621659274,0.0115794838,0.1474484452,0.352100132
20,0.01324549984,0.3466260346,0.0115794838,0.1473153616,0.3598301726
21,0.01324549984,0.3040181623,0.0115794838,0.1471823982,0.3627056106
22,0.01185641574,0.3559012703,0.01022085508,0.1470495548,0.3641426464
23,0.01185641574,0.3439390788,0.01022085508,0.1469168313,0.369899108
24,0.01185641574,0.3077859256,0.01022085508,0.1467842275,0.3749485761
25,0.0113050627,0.2839031159,0.01029437142,0.1466517435,0.3749710036
26,0.0113050627,0.3112124228,0.01029437142,0.146519379,0.3829545312
27,0.009980720183,0.3114470538,0.008294449343,0.146387134,0.3783626846
28,0.009980720183,0.260536415,0.008294449343,0.1462550084,0.3532940437
29,0.009980720183,0.2513819838,0.008294449343,0.146123002,0.3506583183
30,0.009980720183,0.2433876374,0.008294449343,0.1459911148,0.3405537303
31,0.009980720183,0.2474654216,0.008294449343,0.1458593466,0.3413070675
32,0.009980720183,0.2139046251,0.008294449343,0.1457276973,0.32903457
33,0.009980720183,0.241382171,0.008294449343,0.1455961669,0.3294610133
34,0.009980720183,0.2142172139,0.008294449343,0.1454647552,0.331593782
35,0.009980720183,0.1878762024,0.008294449343,0.145333462,0.330589168
36,0.009980720183,0.1909133934,0.008294449343,0.1452022874,0.3297756187
37,0.009980720183,0.2121255726,0.008294449343,0.1450712312,0.320697056
38,0.009980720183,0.1939452824,0.008294449343,0.1449402933,0.3036781868
39,0.009980720183,0.190540287,0.008294449343,0.1448094735,0.3018534627
40,0.009980720183,0.1424527014,0.008294449343,0.1446787718,0.2827225892
41,0.009980720183,0.1402026809,0.008294449343,0.1445481881,0.2782471213
42,0.009980720183,0.1582530511,0.008294449343,0.1444177223,0.2813337333
