method,normalisation,test_mse,test_rmse,test_mae,test_r2,pearson_r,pearson_p,spearman_rho,kendall_tau,train_mse,val_mse,overfit_ratio,seconds
BPNN-DEA,zscore,0.00085604256,0.029258205,0.014890551,0.96369027,0.98224816,3.4720326e-102,0.98501779,0.93144208,0.00024916209,0.00028053351,3.4356854,1.2786798
BPNN-DEA,minmax,0.0021317877,0.046171286,0.022251611,0.90957851,0.95441664,2.4490158e-74,0.96357046,0.90254935,0.0010630318,0.00098448299,2.0053846,1.2244554
BPNN-DEA,robust,0.00085332537,0.029211733,0.014709243,0.96380552,0.981937,1.1395247e-101,0.98526702,0.93215461,0.00041742506,0.00022944333,2.04426,1.2796428
GANN-DEA,zscore,0.00120343,0.034690489,0.020676208,0.94895555,0.97552528,1.1626401e-92,0.97621849,0.90019529,0.0013638332,0.00073154776,0.88238799,67.249071
GANN-DEA,minmax,0.0023829397,0.048815364,0.024660019,0.89892569,0.948358,1.092072e-70,0.94624733,0.87068257,0.0017679188,0.001049177,1.3478785,52.008825
GANN-DEA,robust,0.0026800056,0.05176877,0.027790934,0.88632541,0.94151043,4.6456595e-67,0.96404295,0.85934529,0.0022526637,0.00092049982,1.1897051,60.401537
SVM-DEA,zscore,0.0047921965,0.069225692,0.045083464,0.79673513,0.92092709,2.4694467e-58,0.9500896,0.85009507,0.0029766526,0.0027890282,1.609928,0.0025131702
SVM-DEA,minmax,0.0029636486,0.054439403,0.039402848,0.87429446,0.96329718,1.0653911e-80,0.96577482,0.86797883,0.002789461,0.0029110652,1.0624449,0.0013442039
SVM-DEA,robust,0.0057110416,0.075571434,0.046575368,0.75776157,0.88052088,1.3929052e-46,0.9100795,0.79685493,0.0039132445,0.0027549204,1.4594134,0.0015728474
ISVM-DEA,zscore,0.0036177571,0.060147794,0.013186589,0.84654992,0.92108158,2.1693613e-58,0.94707195,0.92450794,1.6264285e-05,0.00045631387,222.43567,126.46248
ISVM-DEA,minmax,0.0023015878,0.047974866,0.012358235,0.9023763,0.95002433,1.202954e-71,0.97303467,0.9444473,4.3880688e-05,0.00050332644,52.451041,74.673154
ISVM-DEA,robust,0.0051610129,0.07184019,0.021047374,0.78109148,0.88898299,1.1833497e-48,0.92077869,0.87931744,0.00038143588,0.00021627942,13.530486,135.20432
